"order","family","genus","species","redlist"
"Urodela","Salamandridae","Salamandra","atra","LC"
"Urodela","Salamandridae","Salamandra","salamandra","VU"
"Urodela","Salamandridae","Triturus","alpestris","LC"
"Urodela","Salamandridae","Triturus","carnifex","EN"
"Urodela","Salamandridae","Triturus","cristatus","EN"
"Urodela","Salamandridae","Triturus","helveticus","VU"
"Urodela","Salamandridae","Triturus","vulgaris","EN"
"Anura","Discoglossidae","Alytes","obstetricans","EN"
"Anura","Discoglossidae","Bombina","variegata","EN"
"Anura","Pelobatidae","Pelobates","fuscus","DD"
"Anura","Bufonidae","Bufo","bufo","VU"
"Anura","Bufonidae","Bufo","calamita","EN"
"Anura","Bufonidae","Bufo","viridis","RE"
"Anura","Hylidae","Hyla","arborea","EN"
"Anura","Hylidae","Hyla","intermedia","EN"
"Anura","Ranidae","Rana","arvalis","DD"
"Anura","Ranidae","Rana","dalmatina","EN"
"Anura","Ranidae","Rana","esculenta/lessonae","NT"
"Anura","Ranidae","Rana","latastei","VU"
"Anura","Ranidae","Rana","ridibunda","NE"
"Anura","Ranidae","Rana","temporaria","LC"
