"order","family","genus","species","redlist"
"orthoptera","Tettigonidae","Anonconotus","alpinus","VU"
"orthoptera","Tettigonidae","Antaxius","difformis","NT"
"orthoptera","Tettigonidae","Antaxius","pedestris","NT"
"orthoptera","Tettigonidae","Barbitistes","obtusus","LC"
"orthoptera","Tettigonidae","Barbitistes","serricauda","LC"
"orthoptera","Tettigonidae","Conocephalus","dorsalis","EN"
"orthoptera","Tettigonidae","Conocephalus","fuscus","VU"
"orthoptera","Tettigonidae","Decticus","verrucivorus","NT"
"orthoptera","Tettigonidae","Ephippiger","ephippiger diurnus","EN"
"orthoptera","Tettigonidae","Ephippiger","terrestris bormansi von","VU"
"orthoptera","Tettigonidae","Ephippiger","vicheti","VU"
"orthoptera","Tettigonidae","Eupholidoptera","chabrieri","LC"
"orthoptera","Tettigonidae","Leptophyes","albovittata","DD"
"orthoptera","Tettigonidae","Leptophyes","laticauda","LC"
"orthoptera","Tettigonidae","Leptophyes","punctatissima","LC"
"orthoptera","Tettigonidae","Meconema","meridionale","LC"
"orthoptera","Tettigonidae","Meconema","thalassinum","LC"
"orthoptera","Tettigonidae","Metrioptera","bicolor","VU"
"orthoptera","Tettigonidae","Metrioptera","brachyptera","NT"
"orthoptera","Tettigonidae","Metrioptera","fedtschenkoi minor","LC"
"orthoptera","Tettigonidae","Metrioptera","roeselii","LC"
"orthoptera","Tettigonidae","Metrioptera","saussuriana","LC"
"orthoptera","Tettigonidae","Pachytrachis","striolatus","CR"
"orthoptera","Tettigonidae","Phaneroptera","falcata","VU"
"orthoptera","Tettigonidae","Phaneroptera","nana","LC"
"orthoptera","Tettigonidae","Pholidoptera","aptera","LC"
"orthoptera","Tettigonidae","Pholidoptera","fallax","NT"
"orthoptera","Tettigonidae","Pholidoptera","griseoaptera","LC"
"orthoptera","Tettigonidae","Pholidoptera","littoralis insubrica","VU"
"orthoptera","Tettigonidae","Platycleis","albopunctata albopunctata","NT"
"orthoptera","Tettigonidae","Platycleis","albopunctata grisea","LC"
"orthoptera","Tettigonidae","Platycleis","tessellata","CR"
"orthoptera","Tettigonidae","Polysarcus","denticauda","NT"
"orthoptera","Tettigonidae","Ruspolia","nitidula","NT"
"orthoptera","Tettigonidae","Saga","pedo","CR"
"orthoptera","Tettigonidae","Tettigonia","cantans","LC"
"orthoptera","Tettigonidae","Tettigonia","caudata","VU"
"orthoptera","Tettigonidae","Tettigonia","viridissima","LC"
"orthoptera","Tettigonidae","Yersinella","raymondii","NT"
"orthoptera","Raphidophoridae","Tachycines","asynamorus","NE"
"orthoptera","Raphidophoridae","Troglophilus","cavicola","NE"
"orthoptera","Gryllidae","Acheta","domesticus","NE"
"orthoptera","Gryllidae","Eumodicogryllus","bordigalensis","NT"
"orthoptera","Gryllidae","Gryllomorpha","dalmatina","NE"
"orthoptera","Gryllidae","Gryllus","campestris","LC"
"orthoptera","Gryllidae","Melanogryllus","desertus","RE"
"orthoptera","Gryllidae","Nemobius","sylvestris","LC"
"orthoptera","Gryllidae","Oecanthus","pellucens","LC"
"orthoptera","Gryllidae","Pteronemobius","heydenii","VU"
"orthoptera","Gryllidae","Pteronemobius","lineolatus","CR"
"orthoptera","Gryllotalpidae","Gryllotalpa","gryllotalpa","DD"
"orthoptera","Tetrigidae","Tetrix","bipunctata","NT"
"orthoptera","Tetrigidae","Tetrix","ceperoi","EN"
"orthoptera","Tetrigidae","Tetrix","subulata","LC"
"orthoptera","Tetrigidae","Tetrix","tenuicornis","LC"
"orthoptera","Tetrigidae","Tetrix","tuerki","CR"
"orthoptera","Tetrigidae","Tetrix","undulata","LC"
"orthoptera","Tetrigidae","Uvarovitettix","depressus","VU"
"orthoptera","Tridactylidae","Xya","pfaendleri","NE"
"orthoptera","Tridactylidae","Xya","variegata","RE"
"orthoptera","Catantopidae","Anacridium","aegyptium","NE"
"orthoptera","Catantopidae","Bohemanella","frigida","LC"
"orthoptera","Catantopidae","Calliptamus","barbarus","EN"
"orthoptera","Catantopidae","Calliptamus","italicus","VU"
"orthoptera","Catantopidae","Calliptamus","siciliae","EN"
"orthoptera","Catantopidae","Miramella","alpina","LC"
"orthoptera","Catantopidae","Miramella","formosanta","LC"
"orthoptera","Catantopidae","Odontopodisma","decipiens insubrica","LC"
"orthoptera","Catantopidae","Pezotettix","giornae","NT"
"orthoptera","Catantopidae","Podisma","pedestris","LC"
"orthoptera","Acrididae","Acrotylus","patruelis","NE"
"orthoptera","Acrididae","Aeropedellus","variegatus","NT"
"orthoptera","Acrididae","Aiolopus","strepens","LC"
"orthoptera","Acrididae","Aiolopus","thalassinus","EN"
"orthoptera","Acrididae","Arcyptera","fusca","VU"
"orthoptera","Acrididae","Bryodemella","tuberculata","RE"
"orthoptera","Acrididae","Chorthippus","albomarginatus","LC"
"orthoptera","Acrididae","Chorthippus","apricarius","LC"
"orthoptera","Acrididae","Chorthippus","biguttulus","LC"
"orthoptera","Acrididae","Chorthippus","brunneus","LC"
"orthoptera","Acrididae","Chorthippus","dorsatus","LC"
"orthoptera","Acrididae","Chorthippus","eisentrauti","LC"
"orthoptera","Acrididae","Chorthippus","mollis","NT"
"orthoptera","Acrididae","Chorthippus","montanus","VU"
"orthoptera","Acrididae","Chorthippus","parallelus","LC"
"orthoptera","Acrididae","Chorthippus","pullus","CR"
"orthoptera","Acrididae","Chorthippus","vagans","LC"
