"organism_artgroup","organism_artgroup_detmethod"
"Amphibien",100
"Amphibien",101
"Amphibien",102
"Amphibien",103
"Amphibien",104
"Amphibien",106
"Amphibien",107
"Amphibien",111
"Amphibien",300
"Amphibien",301
"Eintagsfliegen",100
"Eintagsfliegen",101
"Eintagsfliegen",109
"Eintagsfliegen",110
"Eintagsfliegen",111
"Eintagsfliegen",112
"Fische",100
"Fische",101
"Fische",109
"Fische",111
"Fische",300
"Hautflügler",100
"Hautflügler",101
"Hautflügler",102
"Hautflügler",109
"Hautflügler",110
"Hautflügler",112
"Hautflügler",202
"Hautflügler",203
"Hautflügler",210
"Heuschrecken",100
"Heuschrecken",101
"Heuschrecken",102
"Heuschrecken",103
"Heuschrecken",104
"Heuschrecken",105
"Heuschrecken",106
"Heuschrecken",107
"Heuschrecken",109
"Heuschrecken",110
"Heuschrecken",111
"Heuschrecken",112
"Heuschrecken",113
"Heuschrecken",304
"Heuschrecken",306
"Käfer",100
"Käfer",101
"Käfer",102
"Käfer",109
"Käfer",110
"Käfer",111
"Käfer",112
"Käfer",113
"Käfer",203
"Käfer",210
"Käfer",304
"Käfer",306
"Käfer",405
"Köcherfliegen",101
"Köcherfliegen",109
"Köcherfliegen",110
"Köcherfliegen",112
"Köcherfliegen",314
"Krebse",100
"Krebse",101
"Krebse",109
"Krebse",110
"Libellen",100
"Libellen",101
"Libellen",102
"Libellen",107
"Libellen",109
"Libellen",110
"Libellen",112
"Mollusken",100
"Mollusken",101
"Mollusken",109
"Mollusken",110
"Mollusken",111
"Mollusken",308
"Mollusken",309
"Mollusken",310
"Mollusken",311
"Mollusken",312
"Nachtfalter",100
"Nachtfalter",101
"Nachtfalter",102
"Nachtfalter",109
"Nachtfalter",110
"Nachtfalter",111
"Nachtfalter",112
"Nachtfalter",210
"Nachtfalter",314
"Nachtfalter",405
"Netzflügler",100
"Netzflügler",101
"Netzflügler",102
"Netzflügler",107
"Netzflügler",109
"Netzflügler",110
"Netzflügler",111
"Netzflügler",112
"Reptilien",100
"Reptilien",101
"Reptilien",107
"Reptilien",108
"Reptilien",109
"Reptilien",111
"Reptilien",300
"Reptilien",301
"Säugetiere",100
"Säugetiere",101
"Säugetiere",102
"Säugetiere",103
"Säugetiere",104
"Säugetiere",106
"Säugetiere",107
"Säugetiere",108
"Säugetiere",109
"Säugetiere",111
"Säugetiere",201
"Säugetiere",202
"Säugetiere",204
"Säugetiere",205
"Säugetiere",206
"Säugetiere",207
"Säugetiere",208
"Säugetiere",209
"Säugetiere",300
"Säugetiere",301
"Säugetiere",302
"Säugetiere",303
"Säugetiere",304
"Säugetiere",305
"Säugetiere",306
"Säugetiere",307
"Säugetiere",313
"Säugetiere",400
"Säugetiere",401
"Säugetiere",402
"Säugetiere",403
"Säugetiere",404
"Säugetiere",405
"Säugetiere",406
"Säugetiere",407
"Säugetiere",408
"Säugetiere",409
"Spinnen",100
"Spinnen",101
"Spinnen",109
"Spinnen",110
"Spinnen",112
"Steinfliegen",100
"Steinfliegen",101
"Steinfliegen",109
"Steinfliegen",110
"Steinfliegen",111
"Steinfliegen",112
"Tagfalter",100
"Tagfalter",101
"Tagfalter",102
"Tagfalter",109
"Tagfalter",110
"Tagfalter",111
"Tagfalter",112
"Tagfalter",210
"Tagfalter",314
"Tagfalter",405
"Tausendfüssler",100
"Tausendfüssler",101
"Tausendfüssler",109
"Tausendfüssler",110
"Tausendfüssler",111
"Tausendfüssler",112
"Wanzen",100
"Wanzen",101
"Wanzen",102
"Wanzen",109
"Wanzen",110
"Wanzen",112
"Zikaden",100
"Zikaden",101
"Zikaden",103
"Zikaden",104
"Zikaden",105
"Zikaden",106
"Zikaden",107
"Zikaden",109
"Zikaden",110
"Zikaden",112
"Zweiflügler",100
"Zweiflügler",101
"Zweiflügler",109
"Zweiflügler",110
"Zweiflügler",111
"Zweiflügler",112
"Zweiflügler",113
