bryo_taxa_id,klasse,familie,gattung,art,autor,unterart,autor_unterart,name_de,name_en,rl2004
2321,Laubmoose,Thuidiaceae,Abietinella,abietina,(Hedw.) M.Fleisch.,,,Echtes Tannenmoos,Fir Tamarisk-moss,LC
490,Laubmoose,Pottiaceae,Acaulon,muticum,(Hedw.) Müll.Hal.,,,Stumpfliches Knospenmoos,Rounded Pygmy-moss,CR
492,Laubmoose,Pottiaceae,Acaulon,triquetrum,(Spruce) Müll.Hal.,,,Dreikantiges Knospenmoos,,VU
3015,Laubmoose,Pottiaceae,Aloina,aloides,(Schultz) Kindb.,,,Echtes Aloëmoos,,CR
494,Laubmoose,Pottiaceae,Aloina,ambigua,(Bruch & Schimp.) Limpr.,,,Zweifelhaftes Aloemoos,Tall Aloe-moss,NE
496,Laubmoose,Pottiaceae,Aloina,brevirostris,(Hook. & Grev.) Kindb.,,,Kurzschnäbeliges Aloemoos,Short-beaked Aloe-moss,VU
497,Laubmoose,Pottiaceae,Aloina,rigida,(Hedw.) Limpr.,,,Steifes Aloemoos,Rigid Aloe-moss,NT
498,Laubmoose,Meesiaceae,Amblyodon,dealbatus,(Hedw.) P.Beauv.,,,Bleichgrünes Stumpfzahnmoos,Short-tooth Hump-moss,VU
502,Laubmoose,Amblystegiaceae,Amblystegium,confervoides,(Brid.) Schimp.,,,Algenähnlicher Stumpfdeckel,Tiny Feather-moss,LC
520,Laubmoose,Amblystegiaceae,Amblystegium,radicale,(P.Beauv.) Schimp.,,,Sumpf-Stumpfdeckelmoos,,VU
525,Laubmoose,Amblystegiaceae,Amblystegium,serpens,(Hedw.) Schimp.,,,Kriechender Stumpfdeckel,Creeping Feather-moss,LC
532,Laubmoose,Amblystegiaceae,Amblystegium,subtile,(Hedw.) Schimp.,,,Feiner Stumpfdeckel,,LC
540,Laubmoose,Rhabdoweisiaceae,Amphidium,lapponicum,(Hedw.) Schimp.,,,Lappländisches Bandmoos,,LC
541,Laubmoose,Rhabdoweisiaceae,Amphidium,mougeotii,(Schimp.) Schimp.,,,Grosses Bandmoos,Mougeot's Yoke-moss,LC
542,Laubmoose,Amblystegiaceae,Anacamptodon,splachnoides,(Brid.) Brid.,,,Schirmmoosartiges Biegzahnmoos,,RE
12,Lebermoose,Scapaniaceae,Anastrepta,orcadensis,(Hook.) Schiffn.,,,Orkney-Moos,Orkney Notchwort,VU
13,Lebermoose,Scapaniaceae,Anastrophyllum,assimile,(Mitt.) Steph.,,,Schwarzes Kahnblattmoos,,EN
15,Lebermoose,Scapaniaceae,Anastrophyllum,hellerianum,(Lindenb.) R.M.Schust.,,,Hellers Kahnblattmoos,Heller's Notchwort,EN
3031,Lebermoose,Scapaniaceae,Anastrophyllum,minutum,(Schreb.) R.M.Schust. ,subsp. minutum,,Schlankes Kahnblattmoos,,LC
20,Lebermoose,Scapaniaceae,Anastrophyllum,minutum,(Schreb.) R.M.Schust.,,,Schlankes Kahnblattmoos,Comb Notchwort,LC
563,Laubmoose,Andreaeaceae,Andreaea,alpestris,(Thed.) Schimp.,,,Alpen-Klaffmoos,,LC
550,Laubmoose,Andreaeaceae,Andreaea,crassinervia,Bruch,,,Dickrippiges Klaffmoos,,VU
553,Laubmoose,Andreaeaceae,Andreaea,frigida,Huebener,,,Eis-Klaffmoos,,VU
3041,Laubmoose,Andreaeaceae,Andreaea,heinemannii,Hampe & Müll.Hal. ,subsp. heinemannii,,Heinemann-Klaffmoos,,VU
2524,Laubmoose,Andreaeaceae,Andreaea,heinemannii,Hampe & Müll.Hal.,,,Heinemann-Klaffmoos,,VU
547,Laubmoose,Andreaeaceae,Andreaea,nivalis,Hook.,,,Schnee-Klaffmoos,Snow Rock-moss,NT
2730,Laubmoose,Andreaeaceae,Andreaea,rothii,,subsp. falcata,(Schimp.) Lindb.,Sichelblättriges Klaffmoos,Hunt's Rock-moss,VU
559,Laubmoose,Andreaeaceae,Andreaea,rothii,F.Weber & D.Mohr ,subsp. rothii,,Felsen-Klaffmoos,Dusky Rock-moss,VU
2622,Laubmoose,Andreaeaceae,Andreaea,rothii,F.Weber & D.Mohr,,,Roth-Klaffmoos,,NE
560,Laubmoose,Andreaeaceae,Andreaea,rupestris,Hedw.,,,Stein-Klaffmoos,Black Rock-moss,LC
24,Lebermoose,Aneuraceae,Aneura,pinguis,(L.) Dumort.,,,Fettglänzendes Ohnnervmoos,Greasewort,LC
566,Laubmoose,Pottiaceae,Anoectangium,aestivum,(Hedw.) Mitt.,,,Dichtes Urnenmoos,Summer-moss,LC
3050,Laubmoose,Pottiaceae,Anoectangium,hornschuchianum,(Hook.) Hornsch.,,,Wasserfall-Molendomoos,,EN
570,Laubmoose,Pottiaceae,Anoectangium,schliephackei,(Schlieph.) Paris,,,Stumpfblättriges Molendomoos,,DD
572,Laubmoose,Pottiaceae,Anoectangium,sendtnerianum,Bruch & Schimp.,,,Kalkschiefer-Molendomoos,,DD
574,Laubmoose,Pottiaceae,Anoectangium,tenuinerve,(Limpr.) Paris,,,Dünnrippiges Molendomoos,,DD
3051,Laubmoose,Bryaceae,Anomobryum,bavaricum,(Warnst.) Holyoak & Köckinger,,,Bayerisches Scheinbirnmoos,,DD
3052,Laubmoose,Bryaceae,Anomobryum,concinnatum,(Spruce) Lindb.,,,Zierliches Scheinbirnmoos,,DD
3053,Laubmoose,Bryaceae,Anomobryum,julaceum,(G.Gaertn. & al.) Schimp.,,,Kätzchenartiges Scheinbirnmoos,,NT
588,Laubmoose,Anomodontaceae,Anomodon,attenuatus,(Hedw.) Huebener,,,Dünnästiger Wolfsfuss,,LC
589,Laubmoose,Anomodontaceae,Anomodon,longifolius,(Brid.) Hartm.,,,Langblättriger Wolfsfuss,Long-leaved Tail-moss,LC
590,Laubmoose,Anomodontaceae,Anomodon,rostratus,(Hedw.) Schimp.,,,Geschnäbeltes Trugzahnmoos,,VU
591,Laubmoose,Anomodontaceae,Anomodon,rugelii,(Müll.Hal.) Keissl.,,,Gespitzter Wolfsfuss,,LC
1488,Laubmoose,Anomodontaceae,Anomodon,tristis,(Ces.) Sull. & Lesq.,,,Häutchenmoos,,VU
593,Laubmoose,Anomodontaceae,Anomodon,viticulosus,(Hedw.) Hook. & Taylor,,,Echter Wolfsfuss,Rambling Tail-moss,LC
26,Lebermoose,Antheliaceae,Anthelia,julacea,(L.) Dumort.,,,Polster-Schimmelmoos,Alpine Silverwort,EN
29,Lebermoose,Antheliaceae,Anthelia,juratzkana,(Limpr.) Trevis.,,,Krusten-Schimmelmoos,Scarce Silverwort,LC
2519,Hornmoose,Anthocerotaceae,Anthoceros,agrestis,Paton,,,Acker-Hornmoos,Field Hornworts,LC
1,Hornmoose,Anthocerotaceae,Anthoceros,punctatus,L.,,,Husnots Hornmoos,Dotted Hornworts,DD
595,Laubmoose,Leucodontaceae,Antitrichia,curtipendula,(Hedw.) Brid.,,,Hängemoos,Pendulous Wing-moss,LC
597,Laubmoose,Dicranaceae,Aongstroemia,longipes,(Sommerf.) Bruch & Schimp.,,,Alluvionenmoos,Sprig-moss,VU
2717,Lebermoose,Gymnomitriaceae,Apomarsupella,revoluta,(Nees) R.M.Schust.,,,Rollrandmoos,,CR
30,Lebermoose,Metzgeriaceae,Apometzgeria,pubescens,(Schrank) Kuwah.,,,Behaartes Igelhaubenmoos,Downy Veilwort,LC
598,Laubmoose,Archidiaceae,Archidium,alternifolium,(Hedw.) Mitt.,,,Wechselblättriges Urmoos,Clay Earth-moss,CR
600,Laubmoose,Rhabdoweisiaceae,Arctoa,fulvella,(Dicks.) Bruch & Schimp.,,,Bräunliches Arktismoos,Arctic Fork-moss,VU
33,Lebermoose,Aytoniaceae,Asterella,gracilis,(F.Weber) Underw.,,,Zierliches Fransenmoos,,VU
36,Lebermoose,Aytoniaceae,Asterella,lindenbergiana,(Nees) Arnell,,,Schneeboden-Sternchenmoos,,LC
38,Lebermoose,Aytoniaceae,Asterella,saccata,(Wahlenb.) A.Evans,,,Wärmeliebendes Sternchenmoos,,VU
41,Lebermoose,Cleveaceae,Athalamia,hyalina,(Sommerf.) S.Hatt.,,,Grossschuppenmoos,Hyaline Liverwort,VU
604,Laubmoose,Leucobryaceae,Atractylocarpus,alpinus,(Milde) Lindb.,,,Schwarzkapselmoos,,RE
607,Laubmoose,Polytrichaceae,Atrichum,angustatum,(Brid.) Bruch & Schimp.,,,Steifblättriges Katharinenmoos,Lesser Smoothcap,LC
613,Laubmoose,Polytrichaceae,Atrichum,flavisetum,Mitt.,,,Haussknechts Katharinenmoos,,DD
609,Laubmoose,Polytrichaceae,Atrichum,tenellum,(Röhl.) Bruch & Schimp.,,,Kleines Katharinenmoos,Slender Smoothcap,LC
