genus, genusid, species, speciesid
Abrothallus, 1, bertianus, 2001
Abrothallus, 1, cetrariae, 2002
Abrothallus, 1, parmeliarum, 2006
Abrothallus, 1, usneae, 2011
Absconditella, 2, annexa, 1541
Absconditella, 2, delutula, 1535
Absconditella, 2, lignicola, 8000
Absconditella, 2, pauxilla, 1540
Absconditella, 2, trivialis, 1537
Acarospora, 3, badiofusca, 2914
Acarospora, 3, bullata, 29
Acarospora, 3, cervina, 8
Acarospora, 3, fuscata, 10
Acarospora, 3, glaucocarpa, 11
Acarospora, 3, heppii, 13
Acarospora, 3, impressula, 2915
Acarospora, 3, macrospora, 14
Acarospora, 3, murorum, 1563
Acarospora, 3, murorum, 8251
Acarospora, 3, nitrophila, 130
Acarospora, 3, schleicheri, 20
Acarospora, 3, sinopica, 24
Acarospora, 3, smaragdula, 25
Acarospora, 3, umbilicata, 31
Acarospora, 3, veronensis, 30
Acrocordia, 5, cavata, 32
Acrocordia, 5, conoidea, 33
Acrocordia, 5, gemmata, 34
Acrocordia, 5, salweyi, 36
Adelococcus, 6, alpestris, 2033
Adelolecia, 7, pilati, 1818
Agonimia, 8, allobata, 1149
Agonimia, 8, gelatinosa, 6041
Agonimia, 8, globulifera, 8275
Agonimia, 8, octospora, 37
Agonimia, 8, opuntiella, 6042
Agonimia, 8, tristicula, 38
Alectoria, 11, nigricans, 39
Alectoria, 11, ochroleuca, 40
Alectoria, 11, sarmentosa, 1647
Amandinea, 13, punctata, 212
Anaptychia, 16, bryorum, 1829
Anaptychia, 16, ciliaris, 45
Anaptychia, 16, crinalis, 1826
Anisomeridium, 19, biforme, 48
Anisomeridium, 19, macrocarpum, 88
Anisomeridium, 19, polypori, 49
Anzina, 23, carneonivea, 1834
Arthonia, 27, apatetica, 2798
Arthonia, 27, byssacea, 61
Arthonia, 27, cinnabarina, 72
Arthonia, 27, didyma, 56
Arthonia, 27, dispersa, 1856
Arthonia, 27, faginea, 1858
Arthonia, 27, fuliginosa, 302
Arthonia, 27, fusca, 1852
Arthonia, 27, ilicinella, 62
Arthonia, 27, lapidicola, 64
Arthonia, 27, leucopellaea, 65
Arthonia, 27, ligniaria, 8021
Arthonia, 27, mediella, 1848
Arthonia, 27, muscigena, 66
Arthonia, 27, pruinata, 63
Arthonia, 27, punctiformis, 68
Arthonia, 27, radiata, 69
Arthonia, 27, reniformis, 1861
Arthonia, 27, spadicea, 70
Arthonia, 27, vinosa, 73
Arthopyrenia, 28, antecellens, 75
Arthopyrenia, 28, cerasi, 81
Arthopyrenia, 28, cinereopruinosa, 82
Arthopyrenia, 28, fraxini, 4522
Arthopyrenia, 28, grisea, 89
Arthopyrenia, 28, lapponina, 84
Arthopyrenia, 28, microspila, 2898
Arthopyrenia, 28, persoonii, 1873
Arthopyrenia, 28, punctiformis, 1872
Arthopyrenia, 28, rhyponta, 91
Arthopyrenia, 28, salicis, 2395
Arthopyrenia, 28, saxicola, 90
Arthopyrenia, 28, viridescens, 1660
Arthothelium, 29, lirellans, 1876
Arthothelium, 29, ruanum, 97
Arthrorhaphis, 30, alpina, 99
Arthrorhaphis, 30, citrinella, 100
Arthrorhaphis, 30, grisea, 1882
Arthrosporum, 31, populorum, 134
Aspicilia, 35, aquatica, 127
Aspicilia, 35, calcarea, 103
Aspicilia, 35, cinerea, 104
Aspicilia, 35, contorta ssp. contorta, 8283
Aspicilia, 35, contorta ssp. hoffmanniana, 8284
Aspicilia, 35, contorta, 107
Aspicilia, 35, coronata, 1883
Aspicilia, 35, grisea, 112
Aspicilia, 35, intermutans, 114
Aspicilia, 35, melanaspis, 1894
Aspicilia, 35, radiosa, 8252
Aspicilia, 35, simoensis, 4582
Aspicilia, 35, verruculosa, 1884
Athelia, 37, arachnoidea, 1600
Bacidia, 39, absistens, 129
Bacidia, 39, adastra, 8253
Bacidia, 39, arceutina, 131
Bacidia, 39, arnoldiana, 132
Bacidia, 39, arnoldiana, 2853
Bacidia, 39, bagliettoana, 158
Bacidia, 39, beckhausii, 135
Bacidia, 39, biatorina, 136
Bacidia, 39, caligans, 138
Bacidia, 39, chloroticula, 141
Bacidia, 39, circumspecta, 142
Bacidia, 39, coprodes, 8285
Bacidia, 39, delicata, 144
Bacidia, 39, etayana, 8254
Bacidia, 39, fraxinea, 2828
Bacidia, 39, fuscoviridis, 157
Bacidia, 39, globulosa, 310
Bacidia, 39, hegetschweileri, 149
Bacidia, 39, incompta, 153
Bacidia, 39, laurocerasi, 155
Bacidia, 39, naegelii, 159
