"order","family","genus","species","redlist"
"Falconiformes","Accipitridae","Accipiter","gentilis","LC"
"Falconiformes","Accipitridae","Accipiter","nisus","LC"
"Passeriformes","Sylviidae","Acrocephalus","arundinaceus","NT"
"Passeriformes","Sylviidae","Acrocephalus","melanopogon","VU"
"Passeriformes","Sylviidae","Acrocephalus","palustris","LC"
"Passeriformes","Sylviidae","Acrocephalus","scirpaceus","LC"
"Charadriiformes","Scolopacidae","Actitis","hypoleucos","EN"
"Passeriformes","Aegithalidae","Aegithalos","caudatus","LC"
"Strigiformes","Strigidae","Aegolius","funereus","LC"
"Passeriformes","Alaudidae","Alauda","arvensis","NT"
"Coraciiformes","Alcedinidae","Alcedo","atthis","VU"
"Galliformes","Phasianidae","Alectoris","graeca","NT"
"Galliformes","Phasianidae","Alectoris","rufa","RE"
"Anseriformes","Anatidae","Anas","clypeata","EN"
"Anseriformes","Anatidae","Anas","crecca","VU"
"Anseriformes","Anatidae","Anas","platyrhynchos","LC"
"Anseriformes","Anatidae","Anas","querquedula","EN"
"Anseriformes","Anatidae","Anas","strepera","EN"
"Passeriformes","Motacillidae","Anthus","campestris","EN"
"Passeriformes","Motacillidae","Anthus","pratensis","VU"
"Passeriformes","Motacillidae","Anthus","spinoletta","LC"
"Passeriformes","Motacillidae","Anthus","trivialis","LC"
"Apodiformes","Apodidae","Apus","apus","NT"
"Apodiformes","Apodidae","Apus","melba","NT"
"Apodiformes","Apodidae","Apus","pallidus","VU"
"Falconiformes","Accipitridae","Aquila","chrysaetos","VU"
"Ciconiiformes","Ardeidae","Ardea","cinerea","LC"
"Ciconiiformes","Ardeidae","Ardea","purpurea","CR"
"Strigiformes","Strigidae","Asio","otus","NT"
"Strigiformes","Strigidae","Athene","noctua","EN"
"Anseriformes","Anatidae","Aythya","ferina","EN"
"Anseriformes","Anatidae","Aythya","fuligula","VU"
"Galliformes","Phasianidae","Bonasa","bonasia","NT"
"Strigiformes","Strigidae","Bubo","bubo","EN"
"Anseriformes","Anatidae","Bucephala","clangula","VU"
"Falconiformes","Accipitridae","Buteo","buteo","LC"
"Caprimulgiformes","Caprimulgidae","Caprimulgus","europaeus","EN"
"Passeriformes","Fringillidae","Carduelis","cabaret","LC"
"Passeriformes","Fringillidae","Carduelis","cannabina","NT"
"Passeriformes","Fringillidae","Carduelis","carduelis","LC"
"Passeriformes","Fringillidae","Carduelis","chloris","LC"
"Passeriformes","Fringillidae","Carduelis","spinus","LC"
"Passeriformes","Fringillidae","Carpodacus","erythrinus","VU"
"Passeriformes","Certhiidae","Certhia","brachydactyla","LC"
"Passeriformes","Certhiidae","Certhia","familiaris","LC"
"Passeriformes","Sylviidae","Cettia","cetti","VU"
"Charadriiformes","Charadriidae","Charadrius","dubius","EN"
"Ciconiiformes","Ciconiidae","Ciconia","ciconia","VU"
"Passeriformes","Cinclidae","Cinclus","cinclus","LC"
"Falconiformes","Accipitridae","Circus","aeruginosus","VU"
"Falconiformes","Accipitridae","Circus","pygargus","VU"
"Passeriformes","Fringillidae","Coccothraustes","coccothraustes","LC"
"Columbiformes","Columbidae","Columba","oenas","LC"
"Columbiformes","Columbidae","Columba","palumbus","LC"
"Passeriformes","Corvidae","Corvus","corax","LC"
"Passeriformes","Corvidae","Corvus","corone","LC"
"Passeriformes","Corvidae","Corvus","frugilegus","LC"
