"family","genus","species","sub_species","redlist"
"Acipenseridae","Acipenser","sturio",,"RE"
"Acipenseridae","Acipenser","naccarii",,"RE"
"Anguillidae","Anguilla","anguilla",,"NT"
"Balitoridae","Barbatula","barbatula",,"LC"
"Blenniidae","Salaria","fluviatilis",,"NT"
"Clupeidae","Alose","agone",,"VU"
"Clupeidae","Alosa","alosa",,"RE"
"Clupeidae","Alosa","fallax",,"RE"
"Cobitidae","Cobitis","taenia",,"VU"
"Cobitidae","Misgurnus","fossilis",,"CR"
"Cottidae","Cottus","gobio",,"LC"
"Cyprinidae","Abramis","bjoerkna",,"NT"
"Cyprinidae","Abramis","brama",,"LC"
"Cyprinidae","Alburnoides","bipunctatus",,"VU"
"Cyprinidae","Alburnus","alburnus",,"LC"
"Cyprinidae","Alburnus","alburnus",,"EN"
"Cyprinidae","Barbus","barbus",,"LC"
"Cyprinidae","Barbus","caninus",,"VU"
"Cyprinidae","Barbo","plebejus",,"VU"
"Cyprinidae","Chondrostoma","nasus",,"CR"
"Cyprinidae","Chondrostoma","soetta",,"CR"
"Cyprinidae","Chondrostoma","toxostoma",,"CR"
"Cyprinidae","Cyprinus","carpio",,"VU"
"Cyprinidae","Gobio","gobio",,"LC"
"Cyprinidae","Leucaspius","delineatus",,"NT"
"Cyprinidae","Leuciscus","cephalus",,"LC"
"Cyprinidae","Leuciscus","leuciscus",,"NT"
"Cyprinidae","Leuciscus","souffia","muticellus","VU"
"Cyprinidae","Leuciscus","souffia","agassizi","EN"
"Cyprinidae","Phoxinus","phoxinus",,"LC"
"Cyprinidae","Rhodeus","amarus",,"EN"
"Cyprinidae","Rutilus","pigus",,"VU"
"Cyprinidae","Rutilus","rubilio",,"NT"
"Cyprinidae","Rutilus","rutilus",,"LC"
"Cyprinidae","Scardinius","erythrophthalmus",,"LC"
"Cyprinidae","Tinca","tinca",,"LC"
"Esocidae","Esox","lucius",,"LC"
"Gadidae","Lota","lota",,"LC"
"Gasterosteidae","Gasterosteus","aculeatus",,"NT"
"Gobiidae","Padogobius","bonelli",,"EN"
"Percidae","Gymnocephalus","cernuus",,"LC"
"Percidae","Perca","fluviatilis",,"LC"
"Percidae","Zingel","asper",,"CR"
"Petromyzontidae","Lampetra","fluviatilis",,"RE"
"Petromyzontidae","Lampetra","planeri",,"EN"
"Salmonidae","Coregonus","sp.",,"NT"
"Salmonidae","Hucho","hucho",,"RE"
"Salmonidae","Salmo","salar",,"RE"
"Salmonidae","Salmo","trutta","fario","NT"
"Salmonidae","Salmo","trutta","lacustris","EN"
"Salmonidae","Salmo","trutta","marmoratus","RE"
"Salmonidae","Salmo","trutta","trutta","RE"
"Salmonidae","Salvelinus","alpinus",,"VU"
"Salmonidae","Thymallus","thymallus",,"VU"
"Siluridae","Silurus","glanis",,"NT"
"Astacidae","Astacus","astacus",,"VU"
"Astacidae","Austropotamobius","pallipes",,"EN"
"Astacidae","Austropotamobius","torrentium",,"EN"
