"order","family","genus","species","redlist"
"Orthoptera","Tettigonidae","Anonconotus","alpinus","VU"
"Orthoptera","Tettigonidae","Antaxius","difformis","NT"
"Orthoptera","Tettigonidae","Antaxius","pedestris","NT"
"Orthoptera","Tettigonidae","Barbitistes","obtusus","LC"
"Orthoptera","Tettigonidae","Barbitistes","serricauda","LC"
"Orthoptera","Tettigonidae","Conocephalus","dorsalis","EN"
"Orthoptera","Tettigonidae","Conocephalus","fuscus","VU"
"Orthoptera","Tettigonidae","Decticus","verrucivorus","NT"
"Orthoptera","Tettigonidae","Ephippiger","ephippiger diurnus","EN"
"Orthoptera","Tettigonidae","Ephippiger","terrestris bormansi von","VU"
"Orthoptera","Tettigonidae","Ephippiger","vicheti","VU"
"Orthoptera","Tettigonidae","Eupholidoptera","chabrieri","LC"
"Orthoptera","Tettigonidae","Leptophyes","albovittata","DD"
"Orthoptera","Tettigonidae","Leptophyes","laticauda","LC"
"Orthoptera","Tettigonidae","Leptophyes","punctatissima","LC"
"Orthoptera","Tettigonidae","Meconema","meridionale","LC"
"Orthoptera","Tettigonidae","Meconema","thalassinum","LC"
"Orthoptera","Tettigonidae","Metrioptera","bicolor","VU"
"Orthoptera","Tettigonidae","Metrioptera","brachyptera","NT"
"Orthoptera","Tettigonidae","Metrioptera","fedtschenkoi minor","LC"
"Orthoptera","Tettigonidae","Metrioptera","roeselii","LC"
"Orthoptera","Tettigonidae","Metrioptera","saussuriana","LC"
"Orthoptera","Tettigonidae","Pachytrachis","striolatus","CR"
"Orthoptera","Tettigonidae","Phaneroptera","falcata","VU"
"Orthoptera","Tettigonidae","Phaneroptera","nana","LC"
"Orthoptera","Tettigonidae","Pholidoptera","aptera","LC"
"Orthoptera","Tettigonidae","Pholidoptera","fallax","NT"
"Orthoptera","Tettigonidae","Pholidoptera","griseoaptera","LC"
"Orthoptera","Tettigonidae","Pholidoptera","littoralis insubrica","VU"
"Orthoptera","Tettigonidae","Platycleis","albopunctata albopunctata","NT"
"Orthoptera","Tettigonidae","Platycleis","albopunctata grisea","LC"
"Orthoptera","Tettigonidae","Platycleis","tessellata","CR"
"Orthoptera","Tettigonidae","Polysarcus","denticauda","NT"
"Orthoptera","Tettigonidae","Ruspolia","nitidula","NT"
"Orthoptera","Tettigonidae","Saga","pedo","CR"
"Orthoptera","Tettigonidae","Tettigonia","cantans","LC"
"Orthoptera","Tettigonidae","Tettigonia","caudata","VU"
"Orthoptera","Tettigonidae","Tettigonia","viridissima","LC"
"Orthoptera","Tettigonidae","Yersinella","raymondii","NT"
"Orthoptera","Raphidophoridae","Tachycines","asynamorus","NE"
"Orthoptera","Raphidophoridae","Troglophilus","cavicola","NE"
"Orthoptera","Gryllidae","Acheta","domesticus","NE"
"Orthoptera","Gryllidae","Eumodicogryllus","bordigalensis","NT"
"Orthoptera","Gryllidae","Gryllomorpha","dalmatina","NE"
"Orthoptera","Gryllidae","Gryllus","campestris","LC"
"Orthoptera","Gryllidae","Melanogryllus","desertus","RE"
"Orthoptera","Gryllidae","Nemobius","sylvestris","LC"
"Orthoptera","Gryllidae","Oecanthus","pellucens","LC"
"Orthoptera","Gryllidae","Pteronemobius","heydenii","VU"
"Orthoptera","Gryllidae","Pteronemobius","lineolatus","CR"
"Orthoptera","Gryllotalpidae","Gryllotalpa","gryllotalpa","DD"
"Orthoptera","Tetrigidae","Tetrix","bipunctata","NT"
"Orthoptera","Tetrigidae","Tetrix","ceperoi","EN"
"Orthoptera","Tetrigidae","Tetrix","subulata","LC"
"Orthoptera","Tetrigidae","Tetrix","tenuicornis","LC"
"Orthoptera","Tetrigidae","Tetrix","tuerki","CR"
"Orthoptera","Tetrigidae","Tetrix","undulata","LC"
"Orthoptera","Tetrigidae","Uvarovitettix","depressus","VU"
"Orthoptera","Tridactylidae","Xya","pfaendleri","NE"
"Orthoptera","Tridactylidae","Xya","variegata","RE"
"Orthoptera","Catantopidae","Anacridium","aegyptium","NE"
"Orthoptera","Catantopidae","Bohemanella","frigida","LC"
"Orthoptera","Catantopidae","Calliptamus","barbarus","EN"
"Orthoptera","Catantopidae","Calliptamus","italicus","VU"
"Orthoptera","Catantopidae","Calliptamus","siciliae","EN"
"Orthoptera","Catantopidae","Miramella","alpina","LC"
"Orthoptera","Catantopidae","Miramella","formosanta","LC"
"Orthoptera","Catantopidae","Odontopodisma","decipiens insubrica","LC"
"Orthoptera","Catantopidae","Pezotettix","giornae","NT"
"Orthoptera","Catantopidae","Podisma","pedestris","LC"
"Orthoptera","Acrididae","Acrotylus","patruelis","NE"
"Orthoptera","Acrididae","Aeropedellus","variegatus","NT"
"Orthoptera","Acrididae","Aiolopus","strepens","LC"
"Orthoptera","Acrididae","Aiolopus","thalassinus","EN"
"Orthoptera","Acrididae","Arcyptera","fusca","VU"
"Orthoptera","Acrididae","Bryodemella","tuberculata","RE"
"Orthoptera","Acrididae","Chorthippus","albomarginatus","LC"
"Orthoptera","Acrididae","Chorthippus","apricarius","LC"
"Orthoptera","Acrididae","Chorthippus","biguttulus","LC"
"Orthoptera","Acrididae","Chorthippus","brunneus","LC"
"Orthoptera","Acrididae","Chorthippus","dorsatus","LC"
"Orthoptera","Acrididae","Chorthippus","eisentrauti","LC"
"Orthoptera","Acrididae","Chorthippus","mollis","NT"
"Orthoptera","Acrididae","Chorthippus","montanus","VU"
