"order","family","genus","species","redlist"
"Odonata","Calopterygidae","Calopteryx","splendens","LC"
"Odonata","Calopterygidae","Calopteryx","splendens","NT"
"Odonata","Calopterygidae","Calopteryx","splendens","DD"
"Odonata","Calopterygidae","Calopteryx","virgo","LC"
"Odonata","Calopterygidae","Calopteryx","virgo","VU"
"Odonata","Lestidae","Chalcolestes","viridis","LC"
"Odonata","Lestidae","Lestes","barbarus","NE"
"Odonata","Lestidae","Lestes","dryas","CR"
"Odonata","Lestidae","Lestes","macrostigma","DD"
"Odonata","Lestidae","Lestes","sponsa","NT"
"Odonata","Lestidae","Lestes","virens","CR"
"Odonata","Lestidae","Sympecma","fusca","LC"
"Odonata","Lestidae","Sympecma","paedisca","CR"
"Odonata","Platycnemididae","Platycnemis","pennipes","LC"
"Odonata","Coenagrionidae","Cercion","lindenii","NT"
"Odonata","Coenagrionidae","Ceriagrion","tenellum","EN"
"Odonata","Coenagrionidae","Coenagrion ","hastulatum","NT"
"Odonata","Coenagrionidae","Coenagrion","lunulatum","CR"
"Odonata","Coenagrionidae","Coenagrion","mercuriale","CR"
"Odonata","Coenagrionidae","Coenagrion","ornatum","RE"
"Odonata","Coenagrionidae","Coenagrion","puella","LC"
"Odonata","Coenagrionidae","Coenagrion","pulchellum","NT"
"Odonata","Coenagrionidae","Coenagrion","scitulum","DD"
"Odonata","Coenagrionidae","Enallagma","cyathigerum","LC"
"Odonata","Coenagrionidae","Erythromma","najas","LC"
"Odonata","Coenagrionidae","Erythromma","viridulum","LC"
"Odonata","Coenagrionidae","Ischnura","elegans","LC"
"Odonata","Coenagrionidae","Ischnura","pumilio","LC"
"Odonata","Coenagrionidae","Nehalennia","speciosa","CR"
"Odonata","Coenagrionidae","Pyrrhosoma","nymphula","LC"
"Odonata","Aeshnidae","Aeshna","affinis","NE"
"Odonata","Aeshnidae","Aeshna","caerulea","VU"
"Odonata","Aeshnidae","Aeshna","cyanea","LC"
"Odonata","Aeshnidae","Aeshna","grandis","LC"
"Odonata","Aeshnidae","Aeshna","juncea","LC"
"Odonata","Aeshnidae","Aeshna","mixta","LC"
"Odonata","Aeshnidae","Aeshna","subarctica","VU"
"Odonata","Aeshnidae","Anaciaeschna","isosceles","LC"
"Odonata","Aeshnidae","Anax","imperator","LC"
"Odonata","Aeshnidae","Anax","parthenope","LC"
"Odonata","Aeshnidae","Boyeria","irene","EN"
"Odonata","Aeshnidae","Brachytron","pratense","LC"
"Odonata","Aeshnidae","Hemianax","ephippiger","NE"
"Odonata","Gomphidae","Gomphus","flavipes","DD"
"Odonata","Gomphidae","Gomphus","pulchellus","VU"
"Odonata","Gomphidae","Gomphus","simillimus","CR"
"Odonata","Gomphidae","Gomphus","vulgatissimus","NT"
"Odonata","Gomphidae","Onychogomphus","forcipatus","NT"
"Odonata","Gomphidae","Onychogomphus","forcipatus","EN"
"Odonata","Gomphidae","Onychogomphus","uncatus","RE"
"Odonata","Gomphidae","Ophiogomphus","cecilia","EN"
"Odonata","Cordulegastridae","Cordulegaster","bidentata","NT"
"Odonata","Cordulegastridae","Cordulegaster","boltonii","LC"
"Odonata","Corduliidae","Cordulia","aenea","LC"
"Odonata","Corduliidae","Epitheca","bimaculata","CR"
"Odonata","Corduliidae","Oxygastra","curtisii","EN"
"Odonata","Corduliidae","Somatochlora","alpestris","LC"
"Odonata","Corduliidae","Somatochlora","arctica","NT"
"Odonata","Corduliidae","Somatochlora","flavomaculata","LC"
"Odonata","Corduliidae","Somatochlora","metallica","LC"
"Odonata","Libellulidae","Crocothemis","erythraea","LC"
"Odonata","Libellulidae","Leucorrhinia","albifrons","CR"
"Odonata","Libellulidae","Leucorrhinia","caudalis","CR"
"Odonata","Libellulidae","Leucorrhinia","dubia","NT"
"Odonata","Libellulidae","Leucorrhinia","pectoralis","CR"
"Odonata","Libellulidae","Leucorrhinia","rubicunda","NE"
"Odonata","Libellulidae","Libellula","depressa","LC"
"Odonata","Libellulidae","Libellula","fulva","LC"
"Odonata","Libellulidae","Libellula","quadrimaculata","LC"
"Odonata","Libellulidae","Orthetrum","albistylum","EN"
"Odonata","Libellulidae","Orthetrum","brunneum","LC"
"Odonata","Libellulidae","Orthetrum","cancellatum","LC"
"Odonata","Libellulidae","Orthetrum","coerulescens","NT"
"Odonata","Libellulidae","Sympetrum","danae","NT"
"Odonata","Libellulidae","Sympetrum","depressiusculum","VU"
"Odonata","Libellulidae","Sympetrum","flaveolum","EN"
"Odonata","Libellulidae","Sympetrum","fonscolombii","NE"
"Odonata","Libellulidae","Sympetrum","meridionale","NE"
"Odonata","Libellulidae","Sympetrum","pedemontanum","CR"
"Odonata","Libellulidae","Sympetrum","sanguineum","LC"
"Odonata","Libellulidae","Sympetrum","striolatum","LC"
"Odonata","Libellulidae","Sympetrum","vulgatum","LC"
