"order","family","genus","species","redlist"
"Cheloniens","Emydidae","Emys","orbicularis","CR"
"Squamata","Lacertidae","Lacerta","agilis","VU"
"Squamata","Lacertidae","Lacerta","bilineata","VU"
"Squamata","Lacertidae","Podarcis","muralis","LC"
"Squamata","Lacertidae","Podarcis","muralis","LC"
"Squamata","Lacertidae","Zootoca","vivipara","LC"
"Squamata","Anguidae","Anguis","fragilis","LC"
"Squamata","Colubridae","Hierophis","viridiflavus","EN"
"Squamata","Colubridae","Zamenis","longissimus","EN"
"Squamata","Colubridae","Coronella","austriaca","VU"
"Squamata","Colubridae","Natrix","natrix","EN"
"Squamata","Colubridae","Natrix","natrix","VU"
"Squamata","Colubridae","Natrix","maura","CR"
"Squamata","Colubridae","Natrix","tessellata","EN"
"Squamata","Viperidae","Vipera","aspis","CR"
"Squamata","Viperidae","Vipera","aspis","VU"
"Squamata","Viperidae","Vipera","aspis","EN"
"Squamata","Viperidae","Vipera","berus","EN"
"Squamata","Viperidae","Vipera","berus","EN"
